date,high,low,open,close,volume,quoteVolume,weightedAverage
1482123000,2e-05,2e-05,2e-05,2e-05,0.000594,29.7,2e-05
1482123300,0.00025,3.2e-05,0.00025,0.00012,0.8139017,20410.8640151,3.987e-05
1482123600,0.00012,3.502e-05,9e-05,9.271e-05,4.58392541,54621.3532599,8.392e-05
1482123900,9.55e-05,5.465e-05,9.272e-05,7.429e-05,5.81138479,84872.1027217,6.847e-05
1482124200,5.815e-05,5e-05,5.815e-05,5.001e-05,3.53406392,64749.4963649,5.458e-05
1482124500,7.215e-05,5.004e-05,5.004e-05,6.092e-05,1.28903624,18784.8181892,6.862e-05
1482124800,6.862e-05,6.08e-05,6.11e-05,6.5e-05,0.98736271,14922.7838124,6.616e-05
1482125100,8.998e-05,6.5e-05,6.5e-05,8.899e-05,4.12706787,51984.6103103,7.939e-05
1482125400,0.00010855,8.515e-05,8.515e-05,9.001e-05,4.9142575,51981.8988175,9.453e-05
1482125700,9.878e-05,8.956e-05,9.361e-05,9.799e-05,1.88435906,20546.5219138,9.171e-05
1482126000,0.00021111,9.799e-05,9.799e-05,0.00018998,14.33164016,98662.5063495,0.00014525
1482126300,0.0002,0.00015,0.00018439,0.00017993,9.13762988,54388.0325928,0.000168
1482126600,0.00018,0.00017,0.00017993,0.00017404,5.06394744,29113.9296057,0.00017393
1482126900,0.00018438,0.00017201,0.00017201,0.00018438,4.55485126,25376.6512939,0.00017948
1482127200,0.00018199,0.0001223,0.0001805,0.000156,13.40953607,88926.9994735,0.00015079
1482127500,0.00015596,0.00013,0.00015595,0.00013959,5.16119002,36554.7226782,0.00014119
1482127800,0.00013684,0.0001251,0.00013014,0.00012946,2.07721652,16038.7565327,0.00012951
1482128100,0.00012938,0.00010812,0.00012738,0.00012381,5.15041818,44975.2561803,0.00011451
1482128400,0.00012322,5.5e-05,0.00011112,6.539e-05,30.72859087,433321.575994,7.091e-05
1482128700,7.673e-05,6.1e-05,6.693e-05,6.8e-05,8.3607821,119587.791104,6.991e-05
1482129000,9.001e-05,6.5e-05,6.798e-05,8.9e-05,14.02362772,170915.932192,8.204e-05
1482129300,8.9e-05,6.85e-05,8.9e-05,7.215e-05,11.25524465,151766.639626,7.416e-05
1482129600,7.215e-05,6.005e-05,7.214e-05,6.005e-05,7.98331066,125498.308836,6.361e-05
1482129900,7.5e-05,5.5e-05,6.006e-05,7.102e-05,6.59285294,102312.268034,6.443e-05
1482130200,7.103e-05,6.436e-05,7.102e-05,6.439e-05,3.77745375,55451.9581606,6.812e-05
1482130500,6.86e-05,5.087e-05,6.472e-05,6.092e-05,24.86160654,447776.824231,5.552e-05
1482130800,5.8e-05,4.5e-05,5.766e-05,4.63e-05,16.09985777,319608.606323,5.037e-05
1482131100,5.1e-05,4.5e-05,4.7e-05,4.7e-05,3.97073063,83273.7054556,4.768e-05
1482131400,5.289e-05,4.5e-05,4.705e-05,4.62e-05,11.33318376,234614.702833,4.83e-05
